acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.164,['Kygo'  'Dreamlab'],0.693,202053,0.739,0,7hd0ZLywUE3GZWNPXKBRGE,1.66E-06,0,0.0906,-6.682,0,Could You Love Me,70,5/29/2020,0.0388,99.976,0.675,2020
0.135,['Lil Uzi Vert'],0.772,210261,0.634,1,7hav1MHURQf5SAoPk0egqh,0,10,0.432,-6.101,0,Baby Pluto,78,3/6/2020,0.212,160.052,0.671,2020
0.0991,['Gunna'],0.779,178097,0.707,1,7GwYENSg87oERcW0Wacd6m,0,1,0.0934,-6.527,1,SKYBOX,76,3/6/2020,0.16,140.894,0.343,2020
0.00728,['The Kid LAROI'  'Lil Tecca'],0.686,172005,0.703,1,7gVwgc8b3XnO87TpmXXFA5,0,6,0.0946,-6.141,0,Diva (feat. Lil Tecca),80,1/31/2020,0.0606,144.902,0.457,2020
0.401,['Sheff G'  'Sleepy Hallow'],0.871,138800,0.479,1,7GUMqIKEU9Whg5VVUlqeuh,1.58E-05,7,0.0928,-8.468,1,Lil Big Bro Shit (feat. Sleepy Hallow),61,5/15/2020,0.471,142.063,0.559,2020
0.128,['Alessia Cara'  'Frank Walker'],0.677,187222,0.832,0,7GmYce5IwYKdS7SeQLivnZ,6.84E-06,0,0.0655,-5.341,1,I Choose - From The Netflix Original Film The Willoughbys / Frank Walker Remix,24,6/12/2020,0.0633,108.037,0.409,2020
0.344,['Lil Uzi Vert'],0.803,238425,0.719,1,7gHZGXSJzM29WA384suYY2,0,0,0.425,-4.485,1,Secure The Bag,66,3/6/2020,0.392,129.945,0.549,2020
0.0415,['Kelly Rowland'],0.857,130686,0.69,0,7GGlr1GkWjre2lo69N0rVk,0,6,0.0942,-4.474,1,COFFEE,67,4/17/2020,0.0437,121.09,0.799,2020
0.0286,['Lil Baby'],0.585,197530,0.641,1,7ge7BHazYbVKi8qyZUX1Bm,0,6,0.316,-4.269,0,Emotionally Scarred,82,2/28/2020,0.133,88.284,0.266,2020
0.472,['Hailee Steinfeld'],0.378,248987,0.388,0,7GCVboEDzfL3NKp1NrAgHR,0,10,0.157,-9.017,1,Wrong Direction,76,1/1/2020,0.036,72.293,0.188,2020
0.441,['Sam Hunt'],0.736,162547,0.458,0,7FpBQ067pHB67deawpbbcY,0,5,0.148,-7.437,1,Body Like A Back Road,68,4/3/2020,0.0316,98.977,0.65,2020
